V_COD_ESTA,V_COD_ANESTA,V_NOM_ESTA,D_FEC_INI,D_FEC_FIN,N_PORCENTAJE,N_NRO_DIA,V_NOM_DRE,V_COD_TIPO,V_COD_CATE,V_DESC_CATE,V_DESL_CATE,V_COD_SIHI,V_NOM_SIHI,V_COD_CUEN,V_NOM_CUEN,V_COD_SECTOR,N_ALT_MTS,N_LON_SIG,N_LAT_SIG,V_COD_COND,PER_INI,PER_FIN
4729E39A,4729E39A,PAMPA DE MAJES,28/11/2011,11/05/2023,92,"3,867",DIRECCION ZONAL DE AREQUIPA,M,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,44,CAMANA,,"1,498",-72,-16,F,2011-11,2023-05
112233,112233,VILLA MARIA DEL TRIUNFO,06/10/2016,11/05/2023,68,"1,636",DIRECCION ZONAL DE LIMA,M,20,EAA,AMBIENTAL AUTOMATICA,1,PACIFICO,26,RIMAC,0002,292,-77,-12,F,2016-10,2023-05
4729D600,4729D600,PAMPA CANGALLO,16/10/2011,11/05/2023,93,"3,913",DIRECCION ZONAL DE JUNIN,M,17,EMA,METEOROLOGICA AUTOMATICA,4,AMAZONAS,10,,,"3,315",-74,-14,F,2011-10,2023-05
4AD000C8,4AD000C8,OCROS,09/04/2012,11/05/2023,99,"4,018",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,"2,814",-77,-10,F,2012-04,2023-05
4AD013BE,4AD013BE,CHACAS,10/04/2012,06/05/2023,89,"3,582",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,4,AMAZONAS,,,,"3,372",-77,-9,F,2012-04,2023-05
4AD02624,4AD02624,CHIQUIAN,10/04/2012,11/05/2023,99,"4,012",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,"3,382",-77,-10,F,2012-04,2023-05
4AD03552,4AD03552,CASMA,10/04/2012,20/04/2021,98,"3,228",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,45,-78,-9,F,2012-04,2021-04
4AD043C2,4AD043C2,SHILLA,10/04/2012,03/02/2020,83,"2,355",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,"3,036",-78,-9,F,2012-04,2020-02
4AD050B4,4AD050B4,CORONGO,10/04/2012,11/05/2023,98,"3,950",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,"3,541",-78,-9,F,2012-04,2023-05
4AD0652E,4AD0652E,SAN NICOLAS,10/04/2012,03/10/2021,95,"3,286",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,4,AMAZONAS,,,,"2,386",-77,-9,F,2012-04,2021-10
